Waiting for data. Press Ctrl+C to end.
Source  Event                  Ch  Data
  0:1   Port subscribed            129:0 -> 128:0
129:0   Note off                2, note 30, velocity 106
129:0   Note off                3, note 30, velocity 110
129:0   Note on                 1, note 30, velocity 110
129:0   Note on                 2, note 30, velocity 106
129:0   Note on                 3, note 30, velocity 110
129:0   Note off                1, note 30, velocity 110
129:0   Note off                2, note 30, velocity 106
129:0   Note off                3, note 30, velocity 110
129:0   Note on                 1, note 30, velocity 110
129:0   Note on                 2, note 30, velocity 106
129:0   Note on                 3, note 30, velocity 110
129:0   Note off                1, note 30, velocity 110
129:0   Note off                2, note 30, velocity 106
129:0   Note off                3, note 30, velocity 110
129:0   Note on                 1, note 34, velocity 110
129:0   Note on                 2, note 34, velocity 106
129:0   Note on                 3, note 34, velocity 110
129:0   Note off                1, note 34, velocity 110
129:0   Note off                2, note 34, velocity 106
129:0   Note off                3, note 34, velocity 110
129:0   Note on                 1, note 30, velocity 110
129:0   Note on                 2, note 30, velocity 106
129:0   Note on                 3, note 30, velocity 110
129:0   Note off                1, note 30, velocity 110
129:0   Note off                2, note 30, velocity 106
129:0   Note off                3, note 30, velocity 110
129:0   Note on                 0, note 82, velocity 88
129:0   Note off                0, note 82, velocity 21
129:0   Note on                 0, note 84, velocity 88
129:0   Note off                0, note 84, velocity 21
129:0   Note on                 0, note 80, velocity 88
129:0   Note off                0, note 80, velocity 21
129:0   Note on                 0, note 68, velocity 88
129:0   Note off                0, note 68, velocity 21
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                0, note 75, velocity 64
129:0   Note on                 0, note 82, velocity 88
129:0   Note off                0, note 82, velocity 121
129:0   Note on                 0, note 84, velocity 88
129:0   Note off                0, note 84, velocity 121
129:0   Note on                 0, note 80, velocity 88
129:0   Note off                0, note 80, velocity 121
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 0, note 82, velocity 88
129:0   Note off                0, note 82, velocity 21
129:0   Note on                 0, note 84, velocity 88
129:0   Note off                0, note 84, velocity 21
129:0   Note on                 0, note 80, velocity 88
129:0   Note off                0, note 80, velocity 21
129:0   Note on                 0, note 68, velocity 88
129:0   Note off                0, note 68, velocity 21
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                0, note 75, velocity 21
129:0   Note on                 1, note 46, velocity 110
129:0   Note on                 2, note 46, velocity 106
129:0   Note on                 3, note 46, velocity 110
129:0   Note off                1, note 46, velocity 110
129:0   Note off                2, note 46, velocity 106
129:0   Note off                3, note 46, velocity 110
129:0   Note on                 1, note 48, velocity 110
129:0   Note on                 2, note 48, velocity 106
129:0   Note on                 3, note 48, velocity 110
129:0   Note off                1, note 48, velocity 110
129:0   Note off                2, note 48, velocity 106
129:0   Note off                3, note 48, velocity 110
129:0   Note on                 1, note 44, velocity 110
129:0   Note on                 2, note 44, velocity 106
129:0   Note on                 3, note 44, velocity 110
129:0   Note off                1, note 44, velocity 110
129:0   Note off                2, note 44, velocity 106
129:0   Note off                3, note 44, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note on                 1, note 46, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note on                 2, note 46, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 3, note 46, velocity 110
129:0   Note off                1, note 46, velocity 110
129:0   Note off                2, note 46, velocity 106
129:0   Note off                3, note 46, velocity 110
129:0   Note on                 1, note 48, velocity 110
129:0   Note on                 2, note 48, velocity 106
129:0   Note on                 3, note 48, velocity 110
129:0   Note off                1, note 48, velocity 110
129:0   Note off                2, note 48, velocity 106
129:0   Note off                3, note 48, velocity 110
129:0   Note on                 1, note 44, velocity 110
129:0   Note on                 2, note 44, velocity 106
129:0   Note on                 3, note 44, velocity 110
129:0   Note off                1, note 44, velocity 110
129:0   Note off                2, note 44, velocity 106
129:0   Note off                3, note 44, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 1, note 29, velocity 110
129:0   Note on                 2, note 29, velocity 106
129:0   Note on                 3, note 29, velocity 110
129:0   Note off                1, note 29, velocity 110
129:0   Note off                2, note 29, velocity 106
129:0   Note off                3, note 29, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 1, note 41, velocity 110
129:0   Note on                 2, note 41, velocity 106
129:0   Note on                 3, note 41, velocity 110
129:0   Note off                1, note 41, velocity 110
129:0   Note off                2, note 41, velocity 106
129:0   Note off                3, note 41, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 1, note 41, velocity 110
129:0   Note on                 2, note 41, velocity 106
129:0   Note on                 3, note 41, velocity 110
129:0   Note off                1, note 41, velocity 110
129:0   Note off                2, note 41, velocity 106
129:0   Note off                3, note 41, velocity 110
129:0   Note on                 1, note 41, velocity 110
129:0   Note on                 2, note 41, velocity 106
129:0   Note on                 3, note 41, velocity 110
129:0   Note off                1, note 41, velocity 110
129:0   Note off                2, note 41, velocity 106
129:0   Note off                3, note 41, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 36, velocity 110
129:0   Note on                 2, note 36, velocity 106
129:0   Note on                 3, note 36, velocity 110
129:0   Note off                1, note 36, velocity 110
129:0   Note off                2, note 36, velocity 106
129:0   Note off                3, note 36, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 1, note 41, velocity 110
129:0   Note on                 2, note 41, velocity 106
129:0   Note on                 3, note 41, velocity 110
129:0   Note off                1, note 41, velocity 110
129:0   Note off                2, note 41, velocity 106
129:0   Note off                3, note 41, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 41, velocity 110
129:0   Note on                 2, note 41, velocity 106
129:0   Note on                 3, note 41, velocity 110
129:0   Note off                1, note 41, velocity 110
129:0   Note off                2, note 41, velocity 106
129:0   Note off                3, note 41, velocity 110
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                0, note 75, velocity 21
129:0   Note on                 0, note 68, velocity 88
129:0   Note off                0, note 68, velocity 21
129:0   Note on                 0, note 68, velocity 88
129:0   Note off                0, note 68, velocity 21
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                0, note 75, velocity 21
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                0, note 75, velocity 21
129:0   Note on                 0, note 65, velocity 88
129:0   Note off                0, note 65, velocity 21
129:0   Note on                 1, note 29, velocity 110
129:0   Note on                 2, note 29, velocity 106
129:0   Note on                 3, note 29, velocity 110
129:0   Note off                1, note 29, velocity 110
129:0   Note off                2, note 29, velocity 106
129:0   Note off                3, note 29, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 36, velocity 110
129:0   Note on                 2, note 36, velocity 106
129:0   Note on                 3, note 36, velocity 110
129:0   Note off                1, note 36, velocity 110
129:0   Note off                2, note 36, velocity 106
129:0   Note off                3, note 36, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 36, velocity 110
129:0   Note on                 2, note 36, velocity 106
129:0   Note on                 3, note 36, velocity 110
129:0   Note off                1, note 36, velocity 110
129:0   Note off                2, note 36, velocity 106
129:0   Note off                3, note 36, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 0, note 82, velocity 88
129:0   Note off                0, note 82, velocity 21
129:0   Note on                 0, note 82, velocity 88
129:0   Note off                0, note 82, velocity 21
129:0   Note on                 0, note 84, velocity 88
129:0   Note off                0, note 84, velocity 21
129:0   Note on                 0, note 72, velocity 88
129:0   Note off                0, note 72, velocity 21
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                0, note 75, velocity 21
129:0   Note on                 1, note 29, velocity 110
129:0   Note on                 2, note 29, velocity 106
129:0   Note on                 3, note 29, velocity 110
129:0   Note off                1, note 29, velocity 110
129:0   Note off                2, note 29, velocity 106
129:0   Note off                3, note 29, velocity 110
129:0   Note on                 1, note 34, velocity 110
129:0   Note on                 2, note 34, velocity 106
129:0   Note on                 3, note 34, velocity 110
129:0   Note off                1, note 34, velocity 110
129:0   Note off                2, note 34, velocity 106
129:0   Note off                3, note 34, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 0, note 82, velocity 88
129:0   Note off                0, note 82, velocity 21
129:0   Note on                 0, note 77, velocity 88
129:0   Note off                0, note 77, velocity 21
129:0   Note on                 0, note 82, velocity 88
129:0   Note off                0, note 82, velocity 21
129:0   Note on                 0, note 87, velocity 88
129:0   Note off                0, note 87, velocity 21
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 32, velocity 110
129:0   Note on                 2, note 32, velocity 106
129:0   Note on                 3, note 32, velocity 110
129:0   Note off                1, note 32, velocity 110
129:0   Note off                2, note 32, velocity 106
129:0   Note off                3, note 32, velocity 110
129:0   Note on                 1, note 41, velocity 110
129:0   Note on                 2, note 41, velocity 106
129:0   Note on                 3, note 41, velocity 110
129:0   Note off                1, note 41, velocity 110
129:0   Note off                2, note 41, velocity 106
129:0   Note off                3, note 41, velocity 110
129:0   Note on                 1, note 29, velocity 110
129:0   Note on                 2, note 29, velocity 106
129:0   Note on                 3, note 29, velocity 110
129:0   Note off                1, note 29, velocity 110
129:0   Note off                2, note 29, velocity 106
129:0   Note off                3, note 29, velocity 110
129:0   Note on                 1, note 29, velocity 110
129:0   Note on                 2, note 29, velocity 106
129:0   Note on                 3, note 29, velocity 110
129:0   Note off                1, note 29, velocity 110
129:0   Note off                2, note 29, velocity 106
129:0   Note off                3, note 29, velocity 110
129:0   Note on                 1, note 29, velocity 110
129:0   Note on                 2, note 29, velocity 106
129:0   Note on                 3, note 29, velocity 110
129:0   Note off                1, note 29, velocity 110
129:0   Note off                2, note 29, velocity 106
129:0   Note off                3, note 29, velocity 110
129:0   Note on                 1, note 36, velocity 110
129:0   Note on                 2, note 36, velocity 106
129:0   Note on                 3, note 36, velocity 110
129:0   Note off                1, note 36, velocity 110
129:0   Note off                2, note 36, velocity 106
129:0   Note off                3, note 36, velocity 110
129:0   Note on                 1, note 31, velocity 110
129:0   Note on                 2, note 31, velocity 106
129:0   Note on                 3, note 31, velocity 110
129:0   Note off                1, note 31, velocity 110
129:0   Note off                2, note 31, velocity 106
129:0   Note off                3, note 31, velocity 110
129:0   Note on                 1, note 36, velocity 110
129:0   Note on                 2, note 36, velocity 106
129:0   Note on                 3, note 36, velocity 110
129:0   Note off                1, note 36, velocity 110
129:0   Note off                2, note 36, velocity 106
129:0   Note off                3, note 36, velocity 110
129:0   Note on                 1, note 30, velocity 110
129:0   Note on                 2, note 30, velocity 106
129:0   Note on                 3, note 30, velocity 110
129:0   Note off                1, note 30, velocity 110
129:0   Note off                2, note 30, velocity 106
129:0   Note off                3, note 30, velocity 110
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note on                 1, note 39, velocity 110
129:0   Note on                 2, note 39, velocity 106
129:0   Note on                 3, note 39, velocity 110
129:0   Note off                1, note 39, velocity 110
129:0   Note off                2, note 39, velocity 106
129:0   Note off                3, note 39, velocity 110
129:0   Note on                 1, note 43, velocity 110
129:0   Note on                 2, note 43, velocity 106
129:0   Note on                 3, note 43, velocity 110
129:0   Note off                1, note 43, velocity 110
129:0   Note off                2, note 43, velocity 106
129:0   Note off                3, note 43, velocity 110
129:0   Note on                 1, note 43, velocity 110
129:0   Note on                 2, note 43, velocity 106
129:0   Note on                 3, note 43, velocity 110
129:0   Note off                1, note 43, velocity 110
129:0   Note off                2, note 43, velocity 106
129:0   Note off                3, note 43, velocity 110
129:0   Note on                 1, note 43, velocity 110
129:0   Note on                 2, note 43, velocity 106
129:0   Note on                 3, note 43, velocity 110
129:0   Note off                1, note 43, velocity 110
129:0   Note off                2, note 43, velocity 106
129:0   Note off                3, note 43, velocity 110
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                0, note 75, velocity 21
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                0, note 75, velocity 21
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                0, note 75, velocity 21
129:0   Note on                 0, note 82, velocity 88
129:0   Note off                0, note 82, velocity 21
129:0   Note on                 0, note 67, velocity 88
129:0   Note off                0, note 67, velocity 21
129:0   Note on                 0, note 67, velocity 88
129:0   Note off                0, note 67, velocity 21
129:0   Note on                 0, note 70, velocity 88
129:0   Note off                0, note 70, velocity 21
129:0   Note on                 0, note 72, velocity 88
129:0   Note off                0, note 72, velocity 21
129:0   Note on                 0, note 65, velocity 88
129:0   Note off                0, note 65, velocity 21
129:0   Note on                 0, note 68, velocity 88
129:0   Note off                0, note 68, velocity 21
129:0   Note on                 0, note 70, velocity 88
129:0   Note off                0, note 70, velocity 21
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                0, note 75, velocity 21
129:0   Note on                 0, note 77, velocity 88
129:0   Note off                0, note 77, velocity 21
129:0   Note on                 0, note 82, velocity 88
129:0   Note off                0, note 82, velocity 21
129:0   Note on                 0, note 86, velocity 88
129:0   Note off                0, note 86, velocity 21
129:0   Note on                 0, note 86, velocity 88
129:0   Note off                0, note 86, velocity 21
129:0   Note on                 0, note 86, velocity 88
129:0   Note off                0, note 86, velocity 21
129:0   Note on                 1, note 31, velocity 110
129:0   Note on                 2, note 31, velocity 106
129:0   Note on                 3, note 31, velocity 110
129:0   Note off                1, note 31, velocity 110
129:0   Note off                2, note 31, velocity 106
129:0   Note off                3, note 31, velocity 110
129:0   Note on                 1, note 30, velocity 110
129:0   Note on                 2, note 30, velocity 106
129:0   Note on                 3, note 30, velocity 110
129:0   Note off                1, note 30, velocity 110
129:0   Note off                2, note 30, velocity 106
129:0   Note off                3, note 30, velocity 110
129:0   Note on                 0, note 86, velocity 88
129:0   Note off                0, note 86, velocity 21
129:0   Note on                 0, note 86, velocity 88
129:0   Note off                0, note 86, velocity 21
129:0   Note on                 1, note 36, velocity 110
129:0   Note on                 2, note 36, velocity 106
129:0   Note on                 3, note 36, velocity 110
129:0   Note off                1, note 36, velocity 110
129:0   Note off                2, note 36, velocity 106
129:0   Note off                3, note 36, velocity 110
129:0   Note on                 1, note 38, velocity 110
129:0   Note on                 2, note 38, velocity 106
129:0   Note on                 3, note 38, velocity 110
129:0   Note off                1, note 38, velocity 110
129:0   Note off                2, note 38, velocity 106
129:0   Note off                3, note 38, velocity 110
129:0   Note on                 1, note 36, velocity 110
129:0   Note on                 2, note 36, velocity 106
129:0   Note on                 3, note 36, velocity 110
129:0   Note off                1, note 36, velocity 110
129:0   Note off                2, note 36, velocity 106
129:0   Note off                3, note 36, velocity 110
129:0   Note on                 1, note 41, velocity 110
129:0   Note on                 2, note 41, velocity 106
129:0   Note on                 3, note 41, velocity 110
129:0   Note off                1, note 41, velocity 110
129:0   Note off                2, note 41, velocity 106
129:0   Note off                3, note 41, velocity 110
